,Fonte,Sexo,Local,Taxa de desocupação,Nível da ocupação,Participação,Renda habitual total,Renda habitual principal,Renda efetiva total,Renda efetiva principal
100,4° Tri. 2018,Homem,Brasil,10.03,65.85,73.2,3559.31,3444.08,3661.29,3550.08
101,4° Tri. 2018,Mulher,Brasil,13.82,46.38,53.82,2751.65,2663.13,2852.98,2765.25
102,4° Tri. 2018,,Ceará,10.18,51.31,57.13,2196.46,2123.5,2211.45,2139.22
103,4° Tri. 2018,Homem,Ceará,9.03,62.09,68.25,2413.58,2329.8,2425.68,2344.33
104,4° Tri. 2018,Mulher,Ceará,11.72,41.42,46.92,1890.85,1832.94,1909.92,1850.34
105,4° Tri. 2018,,Nordeste,14.55,47.86,56.0,2217.57,2129.02,2251.37,2164.74
106,4° Tri. 2018,Homem,Nordeste,12.97,58.18,66.86,2350.7,2260.08,2378.53,2289.98
107,4° Tri. 2018,Mulher,Nordeste,16.66,38.32,45.98,2025.87,1940.23,2068.27,1984.34
108,1° Tri. 2019,,Brasil,12.84,55.08,63.2,3233.54,3131.45,3554.63,3449.65
109,1° Tri. 2019,Homem,Brasil,10.89,65.25,73.23,3550.95,3442.47,3866.41,3757.43
110,1° Tri. 2019,Mulher,Brasil,15.32,45.59,53.84,2801.34,2707.91,3130.09,3030.51
111,1° Tri. 2019,,Ceará,11.56,50.24,56.81,2217.58,2147.5,2379.01,2307.38
112,1° Tri. 2019,Homem,Ceará,10.15,60.55,67.39,2400.27,2316.32,2557.44,2471.87
113,1° Tri. 2019,Mulher,Ceará,13.4,40.83,47.15,1965.31,1914.44,2132.62,2080.3
114,1° Tri. 2019,,Nordeste,15.47,47.06,55.68,2225.84,2138.65,2398.18,2307.01
115,1° Tri. 2019,Homem,Nordeste,13.54,57.39,66.38,2365.46,2280.29,2515.29,2429.78
116,1° Tri. 2019,Mulher,Nordeste,18.05,37.53,45.8,2023.17,1933.0,2228.2,2128.73
117,2° Tri. 2019,,Brasil,12.13,55.84,63.56,3194.16,3088.66,3200.35,3099.03
118,2° Tri. 2019,Homem,Brasil,10.29,65.8,73.34,3516.27,3402.15,3514.75,3406.43
119,2° Tri. 2019,Mulher,Brasil,14.45,46.56,54.42,2760.93,2666.95,2777.5,2685.5
120,2° Tri. 2019,,Ceará,11.02,51.07,57.39,2262.59,2199.71,2219.52,2159.28
121,2° Tri. 2019,Homem,Ceará,9.3,60.98,67.23,2464.09,2404.4,2411.99,2355.12
122,2° Tri. 2019,Mulher,Ceará,13.25,41.83,48.22,1983.08,1915.66,1952.54,1887.51
123,2° Tri. 2019,,Nordeste,14.77,47.68,55.94,2202.46,2120.77,2184.71,2105.63
124,2° Tri. 2019,Homem,Nordeste,12.8,57.83,66.32,2359.86,2277.83,2335.56,2256.37
125,2° Tri. 2019,Mulher,Nordeste,17.39,38.3,46.36,1977.59,1896.29,1969.21,1890.19
126,3° Tri. 2019,,Brasil,11.89,56.04,63.6,3198.66,3095.23,3217.33,3119.38
127,3° Tri. 2019,Homem,Brasil,9.97,66.1,73.42,3526.4,3416.88,3543.11,3439.34
128,3° Tri. 2019,Mulher,Brasil,14.32,46.65,54.44,2756.83,2661.43,2778.15,2687.86
129,3° Tri. 2019,,Ceará,11.43,50.92,57.49,2289.26,2227.06,2308.31,2244.19
130,3° Tri. 2019,Homem,Ceará,10.25,60.94,67.89,2540.65,2476.89,2548.34,2483.18
131,3° Tri. 2019,Mulher,Ceará,12.98,41.65,47.86,1943.12,1882.77,1977.81,1914.84
132,3° Tri. 2019,,Nordeste,14.62,47.79,55.98,2179.66,2098.88,2183.22,2102.92
133,3° Tri. 2019,Homem,Nordeste,12.72,57.97,66.41,2333.94,2254.62,2323.94,2246.03
134,3° Tri. 2019,Mulher,Nordeste,17.15,38.38,46.33,1958.66,1875.66,1981.64,1897.81
135,4° Tri. 2019,,Brasil,11.08,56.35,63.37,3225.89,3117.5,3351.93,3246.17
136,4° Tri. 2019,Homem,Brasil,9.22,66.45,73.2,3552.43,3438.95,3682.64,3570.93
137,4° Tri. 2019,Mulher,Brasil,13.41,46.93,54.2,2786.31,2684.79,2906.73,2808.99
138,4° Tri. 2019,,Ceará,10.31,51.71,57.65,2324.62,2219.01,2353.48,2250.63
